similarity,coefficient,target_item
0.08426817803345603,0.030566083793643326,379
0.03513406644691008,0.04079467844112408,784
0.0,-0.002539158725296709,1421
0.011135217187914895,0.014001720470260532,1005
0.06044630352520637,0.018311671258056578,523
0.008490273939207229,0.008568211829150128,732
0.0,0.00024350454325560518,1629
0.02820656211571079,0.0022079073671380563,718
0.0565331337696281,0.03682874209714559,808
0.09911795880647539,0.06090841668247488,64
0.0,0.0,1456
0.0280761200754009,0.023567994814473022,582
0.020730492817576697,0.03246834132060934,1139
0.22505787134894298,0.08298465279841541,192
0.06249337341248038,0.014725649805802975,622
0.10915636860572826,0.04616478323856108,427
0.0,0.0,906
0.03895586357125715,0.025383829134386637,1152
0.07665143243483043,0.02252255158899328,259
0.030409997085121886,-0.0016758310430227087,334
0.0,0.0,1333
0.0,0.0,1291
0.0576858961454077,0.03707692947831881,641
0.1352543101255434,0.1477670743789195,300
0.015031087578957703,0.007013367548241013,1178
0.0012192709599780653,0.004006328789560916,1254
0.012298298544912243,0.004469122524353186,781
0.02012288921843032,-0.0005355685952403731,1141
0.14216351360876217,0.03189699400677113,673
0.013968711784440393,0.018632840968552604,1400
0.10202812818390315,0.0424333860094373,467
0.036528663702723584,0.01780369699448871,773
0.009969151516594568,0.008804049191452563,781
0.0,0.0,1241
0.0,0.00023065000535520022,1650
0.24900037375980402,0.0720438214588534,401
0.06377042135951398,0.05259025573553052,670
0.11216753179101813,0.03327384624360987,312
0.019227404402022762,0.03415844218930793,1136
0.006603423515459092,0.0015383630046051922,1517
0.1990460516687298,0.05697298896575031,86
0.10688849555984402,0.02843320393972066,517
0.015474446015141747,-0.00022708158495696515,884
0.0,0.0,1356
0.21747241657523678,0.02776661880019227,510
0.08443363535828091,0.030425039126926536,468
0.0,0.0,1354
0.0912741816195811,0.013486583239880771,524
0.0982264141827724,0.05668680156538169,13
0.02595877611919311,0.04057323160183355,1126
0.022900607191697286,0.01068432518090621,973
0.021286874158627362,0.028567907721549296,951
0.0,0.0,1668
0.06036572974139351,-0.006344952798107409,472
0.07106010374751238,0.03273458781050267,1117
0.09217101998709339,0.0209528394480606,163
0.014870854849033612,0.03288050159827344,1021
0.019061981842829315,0.009889586387205678,785
0.024782972316811664,0.09520309482512349,897
0.04896663353077957,0.020097869068427313,38
0.023393532438022585,0.015172122292796828,376
0.1669427447726273,0.03433369474219628,606
0.03964887798549901,0.06420131787014276,323
0.0,0.0,837
0.028255677643022663,0.044526814270459444,335
0.0904714041238586,0.024313871436311283,565
0.0,0.0,1612
0.06220857898637525,0.04335650107975334,362
0.0,0.0,1404
0.012346817873846054,0.009533000701486275,458
0.0,0.0,1232
0.04507152587068044,0.018227077820018606,865
0.12212977203286077,0.06997230231761013,71
0.01110879918686139,0.020238551201974486,1116
0.013188053930547899,0.03528892946382737,1474
0.01995509836158976,0.0065238846704565815,1059
0.0,0.0,1416
0.05859001852557777,0.009971805165985222,1019
0.06553674424332812,0.04782016910241293,879
0.043435926031620935,0.026474495402148152,1136
0.0,0.0,1498
0.1974745230554652,-0.0158528791267789,181
0.043236009272777216,0.011023618991685564,793
0.0,-4.6703286763644775e-05,1606
0.023866779920868195,0.012718467893448358,778
0.0,0.0,1286
0.026809983566625686,0.02285703574370073,924
0.0,0.0,1346
0.12676294139807026,0.09010725642387157,142
0.0,0.0,1544
0.15426307789828658,0.027356162745793083,704
0.0,-0.006645161510906976,1554
0.03531978994062772,0.030119704657250813,101
0.14008336141287053,0.07546443992575085,215
0.027970233193245677,0.024611321994990724,1016
0.05846543583387373,0.035791401801106175,945
0.0,0.0,867
0.0876686032780653,0.050808778140391746,234
0.0,0.0,1441
0.07948031292257295,-0.0038024093361120953,403
0.0,0.0,1361
0.03303555708773946,0.02001020914919323,771
0.10539984328530266,0.07661492482126825,265
0.105307736929205,0.01980736331132257,493
0.11065197940930505,0.01166447741181123,791
0.05047977095838324,0.03261670125912829,265
0.0,0.0,1636
0.12604897958640404,0.011518676516488783,163
0.037146459208346534,0.0253235349125815,19
0.0,0.0,1369
0.14506720969897954,0.05544155400371272,355
0.014188133719513602,0.002551419091368018,1254
0.16611582307031025,0.09113910790472457,130
0.0762014600046679,0.035258973940865725,293
0.03282898022270762,0.028699588830711203,948
0.0,0.0,1660
0.046648216175093495,0.02546426077910323,958
0.06776988933271189,0.01774274288022769,92
0.03913458415572443,0.026377442336033754,255
0.021452977393619864,0.010856725903156277,802
0.04308458169639693,0.031461108717639186,889
0.02336565649163375,0.014564641017251318,1169
0.0,0.0,1490
0.047244110432750674,0.04933262068861652,351
0.0,0.0,1360
0.0,0.0,1360
0.014925827662674734,0.0036181809308382528,1165
0.02222018971293869,0.01262659777436753,1443
0.023754669831835527,0.00684484225244577,935
0.0,0.004592073733688269,1328
0.0,0.0,1212
0.04579881449867325,0.03964404162459306,706
0.03344732413596979,0.002353082245153325,794
0.08427022953250284,0.006829354985771147,468
0.0760795160720706,0.007548379681334524,200
0.009254840823246886,0.010413994252833346,1502
0.024488164084065154,0.03486787296123573,521
0.0,0.0,1501
0.03668763251962673,0.010844685538482002,952
0.12418253551032206,0.06004599495152803,0
0.10422472571016285,0.041632159354277797,87
0.08037702786971453,0.0343599756014268,72
0.09557790037551099,0.03698097796282318,812
0.0,0.0,1107
0.0,0.0,896
0.17460597595011057,0.04278692531715792,21
0.17677955720326827,0.07209712493868665,117
0.1095112666941748,0.03582755326146143,738
0.14521535277635023,0.03526573130026987,508
0.017857335199968048,0.009223275321829844,908
0.11965952953352024,0.055784137783302185,420
0.01519226738687874,0.03914181913133561,853
0.08908820764707945,0.019544009920548173,228
0.09387847210238837,0.008418443842625299,504
0.02256941957823897,0.010574409668487992,786
0.012570137560592935,0.014588894360157745,350
0.23093640746205374,0.047959508482731845,526
0.0739374782543104,0.015574548588556244,489
0.1339094616566328,0.07067610644928846,108
0.08073002778344937,0.026265706775663596,707
0.02990943961765336,0.011176253864226738,1135
0.1572189059306152,0.04925023036408363,76
0.017793169085619977,0.008045585403841987,766
0.0200196036472434,0.013359594606585565,963
0.052628222246478173,0.04603564958250486,968
0.07836733551996025,0.026873223794124518,132
0.026582238825291295,0.04285153599954224,343
0.11138612120561182,0.021176594829494553,658
0.03733260215033697,0.021306837162463076,388
0.04105043078509187,0.0008697359695067115,947
0.07360926983091723,0.019417296645552223,931
0.0,0.0,1671
0.028946424955396056,0.006791415390450033,1136
0.03707261405966409,0.024264133078986873,1207
0.034035666452686034,0.02299649270668348,946
0.017424262552167755,0.0173962680462399,1228
0.0,0.0,1591
0.10842256242032752,0.006529733538968783,660
0.0,0.0,1332
0.0,0.0,1632
0.12242593800946874,0.04764613073837574,516
0.00949857853213241,0.003763864141274721,1287
0.03281990159094121,0.0213428864676524,1078
0.026436873488521136,0.0067226722800202005,1056
0.01517192144998634,0.0037527365461690115,1474
0.06938670941704814,0.03220130329578624,1420
0.04032305764670441,0.007157728220347765,622
0.1554896706055773,0.032630340157011405,230
0.0,0.0,1620
0.01759224417117858,0.019187233289961636,1425
0.17481086986286626,0.06287279013874633,98
0.07957365435185731,0.03512815619333073,59
0.0,0.00016741475160567064,1628
0.0,0.0,1625
0.052509952877833055,0.019851212325802378,588
0.0,0.0,1551
0.042198886118248,0.02616899331346558,864
0.05118105453913254,0.010506201211256946,963
0.04442550982804037,0.019744188798540094,626
0.11630550058596778,0.05469322241514837,755
0.05281514594500648,0.04178350565323843,749
0.0,0.0,1591
0.02603255712918562,0.023022325959171742,531
0.04710500091342145,0.003945181926364006,415
0.0,0.0062178113189388885,1339
0.0010935806880355194,0.001640054755269756,1469
0.004794386111897069,-0.002103857660923411,1067
0.13207226176968587,0.05116324654952603,30
0.057989372273249594,0.008513333862715964,1003
0.014071790045723823,0.012524752397427407,881
0.04153883516740419,0.03418937748038892,801
0.028001718907974156,0.014677235059878047,784
0.01091615897326034,0.013036845157962829,573
0.02309278480127714,0.0017754587794427024,1179
0.0036251757874014405,0.0024859186954477555,934
0.08302086280019769,0.024955744668143553,200
0.03149483357281373,0.020145596097466363,760
0.08511013719302185,0.01866727355243082,941
0.0,0.0,1491
0.0281483910799917,0.004188783802259507,305
0.18018744229452108,0.05516189907856472,1046
0.005843721440248943,0.017454637910233564,73
0.03692285126072765,0.024616916973483026,648
0.04215795643961602,0.021507503902883664,735
0.0,0.005338344224616176,1316
0.12731629151232463,0.054187417129218526,496
0.0002332881664480795,-0.016324279116053355,667
0.01975255201479802,-0.002273097886065517,1029
0.0,0.0,359
0.11515747513119096,0.039376224072734646,923
0.0,0.006668520912969291,1561
0.023713652792758846,0.016398206626096454,617
0.014356653827386129,0.00339773969325171,935
0.06057577387817966,-0.0010194758161476733,157
0.010087079185587886,-0.0006853580177671475,1638
0.0024751645475481706,0.0035993240193548646,1074
0.0,0.004255553262753913,1026
0.0,0.0,1337
0.0069843669991256066,0.023899398280531035,1183
0.01781448703984182,0.012019684874796455,1300
0.0,0.0,1456
0.017733060958119173,0.006956652064009781,1231
0.02600775902789695,0.01475616294680963,1094
0.059126344825487925,0.024996357093721087,462
0.006995843196662521,0.004718387041595189,1269
0.020914895896790953,0.0219407768127636,1225
0.015276095267615815,0.009558866563336403,453
0.1499857679104826,0.023990689938949386,512
0.054563133294342134,0.05632356888485012,351
0.0,0.0,1319
0.056950360128818815,-0.004230084734043163,647
0.0,0.0,1637
0.043265024141767826,0.017966826824527608,40
0.0,0.0,1413
0.1248889724403318,0.017562309031854288,41
0.02778213469832656,0.01464890872860284,876
0.08400838258794549,0.013246585266970368,80
0.020910068333185795,0.01658787590390159,633
0.0,0.0,1002
0.0059767090969574995,-0.0016824102577991846,1122
0.11726192557051993,0.0662545769718474,530
0.0752325046879687,0.0683143709658364,400
0.009752495816686302,0.014255541898994516,900
0.037625104334521604,0.03433592739437861,1064
0.028021871304309817,0.02458501698456951,1313
0.09084818324290204,0.03173493715232584,234
0.0,0.0,1484
0.10975229474069846,0.004032461853324884,156
0.10199983257225836,0.0494160017635806,216
0.002479465748812718,0.006507578086115962,1245
0.07718965286647497,0.008445772995431084,575
0.011396138189394493,0.018988029015646172,1055
0.0343860537666468,0.012548476820007065,616
0.07497938889319111,0.06371526144527459,506
0.06068969997589063,0.023495524878078343,721
0.08005071126953191,0.0210005650184982,575
0.23319256813219774,0.07519832519279021,209
0.007229766341824194,0.009720994440390839,1081
0.03978243061610251,0.039457769209247116,644
0.043637142687549764,0.03089344817997676,145
0.003842654163735018,-0.0023428881482969502,1081
0.04901546247809298,0.0211579763007143,472
0.0,0.0,1416
0.0,-0.007552165624497705,1577
0.06321942019110358,0.041816257607391265,958
0.09889227721002582,0.036433796624536864,1187
0.018890101489057093,0.02155248368609264,333
0.014403919658789066,0.03066437656803178,694
0.0,0.0,1626
0.03887079631942789,0.019737213879100025,1007
0.01841883075609618,0.017785428417988202,350
0.032227042718565184,-0.006884272448942667,962
0.0,0.0,849
0.0,0.0,1397
0.04659065629896896,0.024191009373362823,279
0.034456967777202266,0.000993188178095357,939
0.16908399180028885,0.030386676587544983,49
0.08565786497645224,0.04726483627328169,122
0.017030382220818853,0.01454946711546932,423
0.10004605576309596,0.013873914194139933,498
0.0,0.0,1226
0.0,0.0,898
0.0,0.0,1300
0.01413158456802309,0.010181216846925441,1014
0.017872562328631703,0.0251170795976543,1445
0.01642255624874885,0.03140397222838237,753
0.016803063151601787,0.01210229776631103,340
0.023238591691025084,0.03611091821307084,758
0.01732611007853866,0.01634840819799421,1130
0.2270019977208288,0.08332654506220405,587
0.0648172445189004,0.040928861892623125,85
0.054118488323236395,0.04966266091141188,1078
0.0784901849481993,0.011684450361900115,1118
0.22244977090676857,0.024543403601811925,734
0.0,0.0,1382
0.1505394659411684,0.014472062964614604,527
