family,factor,variant,config,why,rmse,mae,ndcg_mean,recall_mean,precision_mean,map_mean,catalog_coverage,novelty_mean,ild_mean,tail_frac_mean,fit_time_s,rank_mode,delta_ndcg_vs_best_in_block,delta_rmse_vs_best_in_block
UBCF,similarity,cosine,"k=80, mean-centred","Cosine on raw rating vectors treats an unrated item as a 0, so it partly encodes profile overlap (co-rating volume) as well as taste agreement. Exact co-rated Pearson removes user rating scale and uses only the co-rated intersection, which sharpens rating prediction but throws away the overlap signal that drives Top-N retrieval.",0.9424600803955466,0.7385530038139765,0.1636586356971916,0.1930163030090948,0.0918181818181818,0.0908560042388167,0.0689655172413793,2.084967017782183,0.688654715392185,0.0,0.0002650410169735,affinity,0.0,0.005434546193695877
UBCF,similarity,pearson,"k=80, mean-centred","Cosine on raw rating vectors treats an unrated item as a 0, so it partly encodes profile overlap (co-rating volume) as well as taste agreement. Exact co-rated Pearson removes user rating scale and uses only the co-rated intersection, which sharpens rating prediction but throws away the overlap signal that drives Top-N retrieval.",0.9370255342018508,0.7337636569648625,0.1348016255872713,0.1516082493040114,0.0796590909090909,0.0713840887259786,0.0558858501783591,1.9095431830763785,0.6934146216129529,0.0,0.0002470420440658,affinity,-0.02885701010992031,0.0
UBCF,mean_centering,True,"cosine, k=80","Mean-centring subtracts mu_v before aggregating, so a generous rater's 4 and a harsh rater's 4 stop meaning the same thing. It is what makes the rating head competitive; for ranking it can hurt, because the centred numerator rewards items that are *above a neighbour's mean* rather than items with a lot of supporting evidence.",0.9424600803955466,0.7385530038139765,0.1636586356971916,0.1930163030090948,0.0918181818181818,0.0908560042388167,0.0689655172413793,2.084967017782183,0.688654715392185,0.0,0.0002650410169735,affinity,-0.017658272207315084,0.0
UBCF,mean_centering,False,"cosine, k=80","Mean-centring subtracts mu_v before aggregating, so a generous rater's 4 and a harsh rater's 4 stop meaning the same thing. It is what makes the rating head competitive; for ranking it can hurt, because the centred numerator rewards items that are *above a neighbour's mean* rather than items with a lot of supporting evidence.",1.0082712958351827,0.8035806017048149,0.1813169079045067,0.2165127010888819,0.1021590909090909,0.1007446325857784,0.0802615933412604,2.020288511807743,0.6996123226876502,0.0,0.0002876250073313,score,0.0,0.06581121543963608
UBCF,k,5,"cosine, mean-centred","Small k is low-bias / high-variance: a handful of neighbours is noisy. Large k adds weakly-similar neighbours whose votes drag the prediction toward the population mean -- which helps ranking (more evidence, more stable ordering) while flattening the rating curve.",0.9861398379075608,0.7698139357916274,0.1183880939271807,0.1391248638970617,0.0692045454545454,0.0621693458107148,0.2734839476813318,2.576676066527432,0.7110986066755698,0.0552492046659597,0.0561533329891972,affinity,-0.049215365792083604,0.045786745735181156
UBCF,k,10,"cosine, mean-centred","Small k is low-bias / high-variance: a handful of neighbours is noisy. Large k adds weakly-similar neighbours whose votes drag the prediction toward the population mean -- which helps ranking (more evidence, more stable ordering) while flattening the rating curve.",0.9546767766217136,0.7447620858548486,0.1207674082279502,0.1484093364018318,0.06875,0.0630505089872649,0.1985731272294887,2.501207025167162,0.6874777189226023,0.040084835630965,0.0003175000310875,affinity,-0.046836051491314104,0.014323684449333962
UBCF,k,20,"cosine, mean-centred","Small k is low-bias / high-variance: a handful of neighbours is noisy. Large k adds weakly-similar neighbours whose votes drag the prediction toward the population mean -- which helps ranking (more evidence, more stable ordering) while flattening the rating curve.",0.9430180466654868,0.7354793734501875,0.1359543037014692,0.1623290652742751,0.0782954545454545,0.0729312339308619,0.1385255648038049,2.333010932956301,0.677046670874002,0.0123011664899257,0.00028083298821,affinity,-0.03164915601779511,0.002664954493107219
UBCF,k,30,"cosine, mean-centred","Small k is low-bias / high-variance: a handful of neighbours is noisy. Large k adds weakly-similar neighbours whose votes drag the prediction toward the population mean -- which helps ranking (more evidence, more stable ordering) while flattening the rating curve.",0.9403530921723796,0.7342578340071797,0.1453114993489208,0.1749395700772845,0.0827272727272727,0.0782691929570649,0.1111771700356718,2.2577471809838547,0.6772238815005792,0.0043478260869565,0.0003027910133823,affinity,-0.022291960370343505,0.0
UBCF,k,50,"cosine, mean-centred","Small k is low-bias / high-variance: a handful of neighbours is noisy. Large k adds weakly-similar neighbours whose votes drag the prediction toward the population mean -- which helps ranking (more evidence, more stable ordering) while flattening the rating curve.",0.9405575854753688,0.7355657529107661,0.1543290573637801,0.1806833574747922,0.0848863636363636,0.0860573278132801,0.0862068965517241,2.1727617531340835,0.6804428094069715,0.0003181336161187,0.0002632499672472,affinity,-0.013274402355484188,0.00020449330298921709
UBCF,k,80,"cosine, mean-centred","Small k is low-bias / high-variance: a handful of neighbours is noisy. Large k adds weakly-similar neighbours whose votes drag the prediction toward the population mean -- which helps ranking (more evidence, more stable ordering) while flattening the rating curve.",0.9424600803955466,0.7385530038139765,0.1636586356971916,0.1930163030090948,0.0918181818181818,0.0908560042388167,0.0689655172413793,2.084967017782183,0.688654715392185,0.0,0.0002650410169735,affinity,-0.0039448240220726905,0.0021069882231670167
UBCF,k,120,"cosine, mean-centred","Small k is low-bias / high-variance: a handful of neighbours is noisy. Large k adds weakly-similar neighbours whose votes drag the prediction toward the population mean -- which helps ranking (more evidence, more stable ordering) while flattening the rating curve.",0.9436425705795964,0.7405007193686804,0.1664763136301064,0.191220642193946,0.0928409090909091,0.093351450839174,0.06064209274673,1.987902468997844,0.6945880620994941,0.0,0.0002624999615363,affinity,-0.0011271460891578988,0.003289478407216828
UBCF,k,200,"cosine, mean-centred","Small k is low-bias / high-variance: a handful of neighbours is noisy. Large k adds weakly-similar neighbours whose votes drag the prediction toward the population mean -- which helps ranking (more evidence, more stable ordering) while flattening the rating curve.",0.9447429824638232,0.7421273160873965,0.1667603178522961,0.1972872173160893,0.0946590909090909,0.0910701750712911,0.0523186682520808,1.875260727826781,0.7120157442493479,0.0,0.0002583329915069,affinity,-0.0008431418669681834,0.004389890291443543
UBCF,k,300,"cosine, mean-centred","Small k is low-bias / high-variance: a handful of neighbours is noisy. Large k adds weakly-similar neighbours whose votes drag the prediction toward the population mean -- which helps ranking (more evidence, more stable ordering) while flattening the rating curve.",0.9451027352088268,0.7425465221896798,0.1676034597192643,0.1972930443044131,0.0940909090909091,0.0919249725142582,0.0529131985731272,1.8538705736215637,0.7143763738123317,0.0,0.0003242919920012,affinity,0.0,0.004749643036447204
UBCF,ranking_head,rating,"best over sweep (k=5, cosine)","'rating' ranks by rhat and is dominated by thinly-supported items that one enthusiastic neighbour rated 5. 'score' keeps the unnormalised evidence mass. 'affinity' sums positive similarity over neighbours who actually liked the item, which is the implicit-feedback objective and matches the Top-N task.",0.9861398379075608,0.7698139357916274,0.0126630955385353,0.0209008314750729,0.0107954545454545,0.0038902241662658,0.1533888228299643,6.678699875203354,0.6706131119031603,0.7620360551431603,0.0561533329891972,rating,-0.16865381236597138,0.04103710269873395
UBCF,ranking_head,score,"best over sweep (k=80, cosine)","'rating' ranks by rhat and is dominated by thinly-supported items that one enthusiastic neighbour rated 5. 'score' keeps the unnormalised evidence mass. 'affinity' sums positive similarity over neighbours who actually liked the item, which is the implicit-feedback objective and matches the Top-N task.",1.0082712958351827,0.8035806017048149,0.1813169079045067,0.2165127010888819,0.1021590909090909,0.1007446325857784,0.0802615933412604,2.020288511807743,0.6996123226876502,0.0,0.0002876250073313,score,0.0,0.0631685606263559
